Apêndice C

3,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
19,Guararapes,PM,30338,100,100,81,1.638,305,"9,70",Rib.Barra Grande e Córrego Frutal
19,Itapura,PM,3884,80,100,90,210,59,"7,88","Disposto Rio Tietê,reservatório hidrelétrico."
19,José Bonifácio,PM,33211,98,100,71,1.793,542,"7,70",Cór.Cerradão
19,Lavínia,PM,5695,100,100,65,308,108,"7,43",Córrego Barreirão
19,Lourdes,SABESP,1871,100,100,83,101,17,"10,00",Cór.das Pedras
19,Macaubal,SAMA,7153,100,100,68,386,124,"7,71",Ribeirão Ponte Nova
19,Magda,SABESP,2602,100,100,69,141,44,"7,99",Córrego Talhados
19,Mirandópolis,DAEM,26184,90,100,75,1.414,460,"7,44",Ribeirão Claro.
19,Monções,SABESP,1940,100,100,91,105,9,"10,00",Córrego do Saltinho
19,Murutinga do Sul,PM,2745,100,100,68,148,48,"7,59",Cór.Seco
19,Nipoã,SABESP,4554,94,100,79,246,63,"7,94",Cór. Cachoeira
19,Nova Castilho,Municipal,831,100,100,39,45,27,"5,74",Córrego Açoita Cavalo

35,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
19,Nova Luzitânia,SABESP,3625,84,100,87,196,53,"7,70",Cór.do Matadouro
19,Penápolis,DAEP,60216,100,100,81,3.252,605,"9,70",Rib.Lajeado
19,Pereira Barreto,SAAE,23888,99,100,73,1.290,358,"8,18",Cór.Pederneiras
19,Planalto,SABESP,4362,99,100,79,236,52,"8,26",Cór.São Jerônimo
19,Poloni,SABESP,5344,100,100,80,289,58,"10,00",Cór. Barreirinho
19,Promissão,SAAEP,33742,99,99,71,1.822,554,"7,49",Rib.dos Patos
19,Rubiácea,SABESP,1771,100,100,85,96,14,"9,70",Cór.do Matadouro
19,Santo Antônio do Aracanguá,PM,6548,100,80,70,354,156,"6,84",Cór.da Mata
19,Sud Mennucci,SABESP,6624,100,100,86,358,51,"10,00",Cór.Campestre
19,Turiúba,SABESP,1647,95,100,86,89,16,"9,62",Cór.Barreiro
19,Ubarana,PM,5693,100,100,81,307,58,"10,00",Cór.Bocaina
19,União Paulista,SABESP,1395,98,100,94,75,6,"9,67",Rib.Santa Bárbara
19,Valparaíso,DAEV,24853,100,100,14,1.342,1.150,"4,13",Cór Primavera e Cór.do Suspiro
19,Zacarias,SABESP,2111,90,100,80,114,32,"7,74",Córego da Arribada
20,Álvaro de Carvalho,SABESP,3288,98,100,85,178,30,"9,47",Cór.Santa Cecília
20,Arco-Íris,SABESP,1032,89,100,81,56,16,"7,50",Cór.do Sumidouro
20,Clementina,PM,8075,100,100,82,436,77,"10,00",Cór.C.
20,Dracena,EMDAEP,42968,93,100,69,2.320,839,"7,24",Córregos das Marrequinhas e Marrecas
20,Gabriel Monteiro,SABESP,2313,100,100,80,125,25,"9,50",Cór.Águas Claras
20,Garça,SAAE,40331,99,100,74,2.178,566,"7,80",Rib. da Garça e Rio Tibiriçá
20,Getulina,SAAE,8798,98,100,72,475,140,"7,56",Cór.Gavanheri
20,Guaimbê,SAAE,5018,99,99,75,271,72,"7,75",Rib.Guaimbê
20,Herculândia,PM,8619,80,100,82,465,161,"6,96",Cor.da Água Boa e Rib. Iacri
20,Iacri,SABESP,4994,93,100,92,270,39,"9,40",Cór.Jurema
20,Júlio Mesquita,PM,4520,95,100,80,244,59,"7,87",Cor.do Dudu
20,Lucélia,SABESP,18711,98,100,80,1.010,218,"8,57",Cór. Boa Esperança
20,Luiziânia,SABESP,5246,86,100,88,283,68,"7,72",Ribeirão Luiziânia
20,Monte Castelo,PM,3292,98,100,77,178,44,"8,37",Rib. Galante
20,Nova Guataporanga,SABESP,2006,100,100,90,108,11,"9,70",Cór. Costas
20,Nova Independência,PM,3094,100,100,55,167,75,"6,78",Corrego Independência
20,Pacaembu,PM,10646,84,79,94,575,217,"6,99",Cór. Iracema e Pacaembu
20,Panorama,PM,15223,94,100,61,822,351,"7,14",Rib. Das Marrecas
20,Parapuã,SABESP,9008,100,100,0,486,486,"2,99",Cór. Alheiro
20,Paulicéia,PM,6046,60,100,70,326,189,"5,63",Cór. Itaí
20,Piacatu,SABESP,5223,99,100,81,282,56,"9,69",Córrego Bela Vista

37,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
20,Pompéia,SAAE,20330,95,100,84,1.098,222,"8,11",Cór.Cabeça de Porco e Ribeirão do Futuro
20,Queiroz,SABESP,2846,100,100,74,154,40,"7,81",Cór.Matadouro
20,Quintana,SABESP,6028,99,100,88,326,43,"9,48","Rib.Iacri, Cór.Mercedes e Cór.Veado"
20,Rinópolis,PM,8695,100,100,87,470,63,"9,49",Cór.Andorinha
20,Salmourão,SABESP,4719,87,100,75,255,89,"7,53",Cór.Cupri
20,Santa Mercedes,SABESP,2548,89,100,91,138,27,"9,83",R. das Marrecas
20,Santópolis do Aguapeí,SABESP,4573,86,100,94,247,47,"9,29",Cór.Fartura
20,São João do Pau d'Alho,PM,1711,98,100,88,92,13,"9,67",Cór.São João do pau d'alho
20,Tupã,SABESP,62851,100,100,86,3.394,481,"9,50",Rib.Afonso XIII
20,Tupi Paulista,PM,12100,100,100,61,653,256,"7,16",Rib. Galante
20,Vera Cruz,PM,9446,98,100,83,510,95,"9,47",Cór.Ipiranga
21,Adamantina,SABESP,33107,100,100,89,1.788,197,"10,00",Rib. dos Ranchos e Boa Esperança
21,Alfredo Marcondes,SABESP,3469,97,100,83,187,36,"9,96",Córrego Montalvão
21,Álvares Machado,SABESP,22373,100,100,97,1.208,36,"10,00",Córrego do Limoeiro (ETE de Presidente Prudente).
21,Bastos,SABESP,18049,96,100,64,975,378,"6,91",Rib.da Sede
21,Borá,SABESP,651,100,100,92,35,3,"10,00",Cór.do Borá
21,Caiabu,SABESP,3411,85,100,85,184,51,"7,98",Cór.Água da Paineira.
21,Emilianópolis,SABESP,2644,96,100,80,143,33,"8,45",Cór.Sto Antônio
21,Flora Rica,SABESP,1213,90,100,82,66,17,"8,14",Cór. Afl. Do Ribeirão Perobal
21,Flórida Paulista,SABESP,11430,100,100,85,617,91,"9,70",Cór.Matadouro e Cór. Indaia
21,Indiana,PM,4181,95,100,85,226,43,"9,93",Cór. Acampamento
21,Inúbia Paulista,SABESP,3468,95,100,78,187,49,"7,92",Ribeirão dos Macacos
21,Irapuru,PM,5840,99,100,74,315,84,"7,96",Cór.Patrimônio
21,Junqueirópolis,PM,16878,100,100,60,911,365,"7,10",Cór. Ponte Seca e Caingangues.
21,Lutécia,SABESP,2118,99,100,92,114,10,"9,99",Cór.Boa Esperança
21,Mariápolis,SABESP,3266,90,100,83,176,45,"7,88",Córrego Águas Floridas.
21,Marília,ÁGUAS DE MARÍLIA,227339,80,0,,12.276,12.276,"1,20","Cór.Cascatinha, do Pombo, do Barbosa, Palmital, Cincinatina e Rib.dos Índios"
21,Martinópolis,PM,22083,99,100,81,1.193,240,"8,68",Córrego Capão Bonito
21,Oriente,SABESP,6059,95,100,84,327,65,"9,43",Cór.Jatobá
21,Oscar Bressane,SABESP,2153,94,100,88,116,20,"9,91",Cór.do Saltinho
21,Osvaldo Cruz,SABESP,29433,100,100,82,1.589,286,"9,70",Cór. Wallesburgo
21,Ouro Verde,PM,7822,95,100,88,422,69,"9,63",Ribeirão São Bento
21,Piquerobi,SABESP,2782,91,100,92,150,25,"9,86",Cór. Da Represa.
21,Pracinha,SABESP,1899,98,100,55,103,47,"6,97",Ribeirão dos Macacos.
21,Ribeirão dos Índios,SABESP,1884,97,100,87,102,16,"9,95",Afl. Rib.dos Indios

39,,,,,,,,,,
,,,Poplação,Atendimento (%),,,Carga Poluidora (kg DBO/dia),,,Corpo Receptor
UGRHI,Município,Concessão,Urubana,Coleta,Tratamento,Eficiência,Potencial,Remanesc.,ICTEM,
21,Sagres,SABESP,1849,92,100,85,100,22,"8,43",Afl. do Cór. Queixada
21,Santo Expedito,SABESP,2732,86,100,90,148,33,"8,34",Cór. Santo Expedito.
22,Anhumas,SABESP,3343,100,100,85,181,27,"10,00",Córrego São Pedro
22,Caiuá,PM,2221,99,100,97,120,5,"9,99",Ribeirão Caiuazinho
22,Estrela do Norte,SABESP,2182,99,100,85,118,19,"9,98",Rio Rebojo
22,Euclides da Cunha Paulista,SABESP,6005,86,100,79,324,105,"7,69",Rio Paranapanema
22,Iepê,PM,7216,95,100,85,390,75,"9,93",Rib.dos Patos
22,Marabá Paulista,SABESP,2563,95,100,83,138,29,"8,56",Córrego Sagui.
22,Mirante do Paranapanema,SABESP,10703,71,100,86,578,225,"7,04",Cór. da Figueira
22,Nantes,PM,2787,98,100,81,150,31,"8,63",Cór. Coroado.
22,Narandiba,SABESP,3481,100,100,81,188,36,"10,00",Cór. Laranjeira
22,Pirapozinho,SABESP,25925,92,100,80,1.400,374,"8,14",Rib.Pirapozinho
22,Presidente Bernardes,SABESP,10199,83,100,94,551,120,"8,34",Cór.Barro Preto e Cór.Guarucaia
22,Presidente Epitácio,SABESP,41053,84,100,85,2.217,638,"7,89",Rio Paraná
22,Presidente Prudente,SABESP,222418,100,100,97,12.011,378,"9,70","Rios Mandaguari, Cór.Limoeiro e Cór. da Anta."
22,Presidente Venceslau,PM,37742,98,40,85,2.038,1.359,"4,24",Rib.Veado e Cór. Santo Anastacio
22,Regente Feijó,SABESP,18549,99,100,87,1.002,140,"9,99",Cór. Imbiri e Cór. Da Represa
22,Rosana,SABESP,13703,88,100,89,740,161,"8,41",Rio Paranapanema
22,Sandovalina,SABESP,2964,91,100,84,160,38,"8,30",Rib. Taquaruçú
22,Santo Anastácio,SABESP,19464,94,100,93,1.051,142,"9,90",Cor.7 de Setembro e Cór. Da Figueira
22,Taciba,SABESP,5299,98,100,83,286,54,"9,97",Cór. da Formiga
22,Tarabai,SABESP,6836,89,100,80,369,105,"7,99",Ribeirão do Rebojo
22,Teodoro Sampaio,SABESP,18692,100,100,83,1.009,167,"10,00",R.Paranapanema
,,Somatória,43.672.731,---,---,---,2.358.327,1.053.117,---,---
,Estado de São Paulo,Média,---,88,63,0,---,---,"6,34",---

